method,cell,paper_claim_scope,local_commit,source_status,runtime_status,matrix_scope,interface_evidence,pid_data_boundary,blocker_or_condition,repro_command,runtime_evidence
A+R,X1,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,partial-source-mapping,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A5-A6,reward callable process to workflow; rollout callback has no reward payload,real differing verifier callable/retry needed; notification callback cannot inject scalar reward; full R adapter not implemented in P0,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
A+R,X2,published async RL snapshot; X1/X2 extended consistency not default paper promise,b83d1f40196e5bd7d9f83092563443561870d550,partial-source-mapping,runtime-unverified,planned,P0_INTERFACE_AUDIT.md evidence ID A6,controller callback notification then worker wait_for_task; no mapped durable attempt identity,duplicate notification alone is not old-attempt result race; no internal-state mutation allowed; full R adapter not implemented in P0,python -m pytest tests/test_recover.py tests/test_grouped_rollout_workflow.py tests/test_async_reward_wrapper.py -q (from third_party/areal; library tests only),p0_evidence/official_tests_r2.log; p0_evidence/cpu_contracts.log (library/Mock coverage only; no cell recovery PASS)
C,F1,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome,,p0_evidence/cpu_contracts.log (framework rejection only)
C,F2,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,conditional,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome,,p0_evidence/cpu_contracts.log (framework rejection only)
C,F3,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,conditional,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome,,p0_evidence/cpu_contracts.log (framework rejection only)
C,F4,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome,,p0_evidence/cpu_contracts.log (framework rejection only)
C,X1,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome,,p0_evidence/cpu_contracts.log (framework rejection only)
C,X2,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome,,p0_evidence/cpu_contracts.log (framework rejection only)
C+R,F1,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome; full R adapter not implemented in P0,,p0_evidence/cpu_contracts.log (framework rejection only)
C+R,F2,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,conditional,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome; full R adapter not implemented in P0,,p0_evidence/cpu_contracts.log (framework rejection only)
C+R,F3,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,conditional,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome; full R adapter not implemented in P0,,p0_evidence/cpu_contracts.log (framework rejection only)
C+R,F4,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome; full R adapter not implemented in P0,,p0_evidence/cpu_contracts.log (framework rejection only)
C+R,X1,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome; full R adapter not implemented in P0,,p0_evidence/cpu_contracts.log (framework rejection only)
C+R,X2,published checkpoint component plus project integration/restart wrapper,6f00167c153f3e65a67240aaa5ef4850a1c740fd,unavailable-current-Megatron-integration,runtime-unverified,outside-FT-v1-formal-matrix,P0_INTERFACE_AUDIT.md C1-C2/S1-S2,Slime actor ranks and separate rollout datasource; ByteCheckpoint tracker is not consumer ACK,Megatron framework rejected; model chunks/sharded optimizer mapping absent; F3 application consumer/restart contract undefined; no predeclared N/A for future C integration; not a failure outcome; full R adapter not implemented in P0,,p0_evidence/cpu_contracts.log (framework rejection only)
B,F1,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,conditional,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist,,
B,F2,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,conditional,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist,,
B,F3,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,outside-FT-v1-formal-matrix,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist,,
B,F4,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,conditional,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist,,
B,X1,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,outside-FT-v1-formal-matrix,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist,,
B,X2,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,outside-FT-v1-formal-matrix,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist,,
B+R,F1,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,conditional,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist; full R adapter not implemented in P0,,
B+R,F2,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,conditional,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist; full R adapter not implemented in P0,,
B+R,F3,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,outside-FT-v1-formal-matrix,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist; full R adapter not implemented in P0,,
B+R,F4,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,conditional,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist; full R adapter not implemented in P0,,
B+R,X1,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,outside-FT-v1-formal-matrix,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist; full R adapter not implemented in P0,,
B+R,X2,dedicated RL role isolation/recovery; official artifact not confirmed,,unavailable-artifact-unconfirmed,unavailable,outside-FT-v1-formal-matrix,p0_evidence/robustrl_search.json,not inspectable without attributable official artifact,No B4/B5 or whole-job restart stand-in; does not prove artifact cannot exist; full R adapter not implemented in P0,,
